Timestamp,Container,CPU%,MemUsage(MB),MemLimit(MB),Mem%
2026-02-22T14:37:54.792Z,bank-api-pgbouncer,21.98,1.91,512.00,0.37
2026-02-22T14:37:54.792Z,bank-api-db,70.17,226.40,6144.00,3.68
2026-02-22T14:37:56.858Z,api-bank-app-2,64.16,77.83,1024.00,7.6
2026-02-22T14:37:56.858Z,api-bank-app-1,99.04,78.58,1024.00,7.67
2026-02-22T14:37:56.858Z,bank-api-pgbouncer,21.19,1.92,512.00,0.37
2026-02-22T14:37:56.858Z,bank-api-db,68.43,226.70,6144.00,3.69
2026-02-22T14:37:57.852Z,api-bank-app-2,89.82,77.89,1024.00,7.61
2026-02-22T14:37:57.852Z,api-bank-app-1,83.62,78.54,1024.00,7.67
2026-02-22T14:37:57.852Z,bank-api-pgbouncer,21.19,1.92,512.00,0.37
2026-02-22T14:37:57.852Z,bank-api-db,72.81,227.10,6144.00,3.7
2026-02-22T14:37:58.995Z,api-bank-app-2,89.82,77.89,1024.00,7.61
2026-02-22T14:37:58.995Z,api-bank-app-1,83.62,78.54,1024.00,7.67
2026-02-22T14:37:58.995Z,bank-api-pgbouncer,21.68,2.17,512.00,0.42
2026-02-22T14:37:58.995Z,bank-api-db,77.77,226.60,6144.00,3.69
2026-02-22T14:37:59.061Z,api-bank-app-2,92.72,77.64,1024.00,7.58
2026-02-22T14:37:59.061Z,api-bank-app-1,89.07,79.06,1024.00,7.72
2026-02-22T14:37:59.061Z,bank-api-pgbouncer,25.14,1.90,512.00,0.37
2026-02-22T14:37:59.061Z,bank-api-db,77.77,226.60,6144.00,3.69
2026-02-22T14:37:59.978Z,api-bank-app-2,90.23,77.79,1024.00,7.6
2026-02-22T14:37:59.978Z,api-bank-app-1,82.39,78.90,1024.00,7.7
2026-02-22T14:37:59.978Z,bank-api-pgbouncer,26.76,2.18,512.00,0.43
2026-02-22T14:37:59.978Z,bank-api-db,65.44,227.20,6144.00,3.7
2026-02-22T14:38:01.014Z,api-bank-app-2,56.79,77.55,1024.00,7.57
2026-02-22T14:38:01.014Z,api-bank-app-1,99.07,78.64,1024.00,7.68
2026-02-22T14:38:01.014Z,bank-api-pgbouncer,22.76,2.16,512.00,0.42
2026-02-22T14:38:01.014Z,bank-api-db,62.88,227.10,6144.00,3.7
2026-02-22T14:38:02.066Z,api-bank-app-2,76.12,77.82,1024.00,7.6
2026-02-22T14:38:02.066Z,api-bank-app-1,94.57,78.70,1024.00,7.69
2026-02-22T14:38:02.066Z,bank-api-pgbouncer,20.26,2.18,512.00,0.43
2026-02-22T14:38:02.066Z,bank-api-db,69.83,226.60,6144.00,3.69
2026-02-22T14:38:03.043Z,api-bank-app-2,66.79,77.85,1024.00,7.6
2026-02-22T14:38:03.043Z,api-bank-app-1,97.58,78.64,1024.00,7.68
2026-02-22T14:38:03.043Z,bank-api-pgbouncer,20.88,1.92,512.00,0.37
2026-02-22T14:38:03.043Z,bank-api-db,67.94,227.00,6144.00,3.69
2026-02-22T14:38:04.109Z,api-bank-app-2,78.69,77.93,1024.00,7.61
2026-02-22T14:38:04.109Z,api-bank-app-1,96.93,78.62,1024.00,7.68
2026-02-22T14:38:04.109Z,bank-api-pgbouncer,19.7,2.18,512.00,0.42
2026-02-22T14:38:04.109Z,bank-api-db,77.77,227.20,6144.00,3.7
2026-02-22T14:38:05.096Z,api-bank-app-2,85,77.84,1024.00,7.6
2026-02-22T14:38:05.096Z,api-bank-app-1,92.42,78.70,1024.00,7.69
2026-02-22T14:38:05.096Z,bank-api-pgbouncer,23.08,1.92,512.00,0.37
2026-02-22T14:38:05.096Z,bank-api-db,79.24,227.20,6144.00,3.7
2026-02-22T14:38:06.116Z,api-bank-app-2,86.41,77.90,1024.00,7.61
2026-02-22T14:38:06.116Z,api-bank-app-1,84.93,79.22,1024.00,7.74
2026-02-22T14:38:06.116Z,bank-api-pgbouncer,23.55,1.93,512.00,0.38
2026-02-22T14:38:06.116Z,bank-api-db,80.38,227.20,6144.00,3.7
2026-02-22T14:38:07.134Z,api-bank-app-2,97.71,78.17,1024.00,7.63
2026-02-22T14:38:07.134Z,api-bank-app-1,85.25,78.91,1024.00,7.71
2026-02-22T14:38:07.134Z,bank-api-pgbouncer,24.12,1.94,512.00,0.38
